case_id,repository,status,last_benign_sha,range_first_sha,range_tip_sha,range_revspec,range_commit_count,malicious_commit_count,answer_labeled_shas,canonical_malicious_shas,answer_ref,answer_file,label_source,range_method,linked_repository,notes
rocketchat_roni_cache,rocketchat-roni,ready,fc7adc78d14cf1f4dc3b273054e9aee32ca7e605,dbad8d1262af8e1ed3a47105e255aa7e1f3f27f9,dbad8d1262af8e1ed3a47105e255aa7e1f3f27f9,fc7adc78d14cf1f4dc3b273054e9aee32ca7e605..dbad8d1262af8e1ed3a47105e255aa7e1f3f27f9,1,1,dbad8d1262af8e1ed3a47105e255aa7e1f3f27f9,dbad8d1262af8e1ed3a47105e255aa7e1f3f27f9,refs/heads/answers,ANSWERS.txt,answer branch/document,changes_to_commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_roni_mutex,rocketchat-roni,ready,fc7adc78d14cf1f4dc3b273054e9aee32ca7e605,f87253ad0dcf06b762163731a0e12fd26764f32e,ba4cfc0434ff0c744a268a5addc91d7d2fb11b52,fc7adc78d14cf1f4dc3b273054e9aee32ca7e605..ba4cfc0434ff0c744a268a5addc91d7d2fb11b52,4,4,f87253ad0dcf06b762163731a0e12fd26764f32e;14c68ee52e25ba026f4ac56eafa1a3e1b3d374c4;7fde064a1bf626aa42db8c9dad4190451a5d3b82;ba4cfc0434ff0c744a268a5addc91d7d2fb11b52,f87253ad0dcf06b762163731a0e12fd26764f32e;14c68ee52e25ba026f4ac56eafa1a3e1b3d374c4;7fde064a1bf626aa42db8c9dad4190451a5d3b82;ba4cfc0434ff0c744a268a5addc91d7d2fb11b52,refs/heads/answers_mutexes,ANSWERS.txt,answer branch/document,answer-documented four-commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_hoch,rocketchat-hoch,ready,b7e7fc75eb6e904634e23b18bcbd802b3f0e63fa,b1e2d64e131c724860aeca101a7660e2d4396e7c,92e02f24c9684ebd2c2d8fdae73bcc720aaea2d6,b7e7fc75eb6e904634e23b18bcbd802b3f0e63fa..92e02f24c9684ebd2c2d8fdae73bcc720aaea2d6,50,1,92e02f24c9684ebd2c2d8fdae73bcc720aaea2d6,92e02f24c9684ebd2c2d8fdae73bcc720aaea2d6,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
ori_fleetbase_v4,Ori-Fleetbase-v4,ready,233154ecb2a935cfc595e3e016b729ff38ad7bf5,e4a8f9519bb97eeb339cd0cedb7779166738d0b5,ac76d8678578218d10e834c19f3c6e2db8083445,233154ecb2a935cfc595e3e016b729ff38ad7bf5..ac76d8678578218d10e834c19f3c6e2db8083445,53,1,421f0c7b335e0e1fa27cc683cc682b8559b97634,421f0c7b335e0e1fa27cc683cc682b8559b97634,refs/heads/answers,answers.md; answers.txt,answer branch/document,reversed tag topology; baseline tag through main,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
record_store_app,record-store-app,ready,ca35fe2bf8acac5ec234de29814a5c5f87af8138,ea1a0a6c6696c5ed42e5e2c583b95d09de280b7b,b2a895394aa214e21b874365ceff689e2815aa90,ca35fe2bf8acac5ec234de29814a5c5f87af8138..b2a895394aa214e21b874365ceff689e2815aa90,13,1,99f910101e4ea964d77dc25ab544d03277bde88f,99f910101e4ea964d77dc25ab544d03277bde88f,blackjack-thing/record-store-data,server.js contract,cross-repository contract analysis,merge-base through changes_to_commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
wikijs_hoch,wikijs-hoch,ready,6ed9221dedc61eb76374b1f8b46d7f6e1d0a3495,cd9ec1e6071db8ac8da0653cf8c3110d87c471bb,0b00745ab52640e2927ad0e1a22464f707339aa3,6ed9221dedc61eb76374b1f8b46d7f6e1d0a3495..0b00745ab52640e2927ad0e1a22464f707339aa3,17,2,43438ff4f78510dadf9858cd98706f2bf532b431;0b00745ab52640e2927ad0e1a22464f707339aa3,43438ff4f78510dadf9858cd98706f2bf532b431;0b00745ab52640e2927ad0e1a22464f707339aa3,refs/heads/answers,answers.txt,answer branch/document,main..changes_to_commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
yael_snipeit,yael_snipeIT,ready,920676fbd72a4716b64d4414cd1172f305147aa7,8eaa9cc7ba3d3897994856b9bf427d0efcf79582,e285e93cf45ab985b69f39fc0570ab952cec4008,920676fbd72a4716b64d4414cd1172f305147aa7..e285e93cf45ab985b69f39fc0570ab952cec4008,120,1,8eaa9cc7ba3d3897994856b9bf427d0efcf79582,8eaa9cc7ba3d3897994856b9bf427d0efcf79582,refs/heads/changes_to_commit,answers.txt,answer branch/document,master..changes_to_commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
new_features_reference,new_features,reference_only,,,,,0,0,2a2b805fc5;6f3720c7ec;421f0c7b33,,refs/heads/main,answers.md,answer-only Fleetbase variant catalog,not extractable: referenced SHAs are not present as local commits,Ori-Fleetbase-v4,No local commit range can be constructed from this answer-only catalog.
ardupilot,ardupilot,ready,72b5efd8b361ea4f46840de7a95d903362f19631,482342340ddccf83abadb7c7c94ccb987ed5d3f4,a4e929b070ab1ba42f010d1bb827ef7dd3490a29,72b5efd8b361ea4f46840de7a95d903362f19631..a4e929b070ab1ba42f010d1bb827ef7dd3490a29,50,1,fd2c8e58169a7675be9810a9a007a472e400b259,fd2c8e58169a7675be9810a9a007a472e400b259,refs/heads/answers,answers.txt,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
movie_tracker,movie-tracker,ready,1fe9e97359e1d9c3ccefdd10e9082dd9dea4c44b,55b3fca182f6f2f297790a1d0419043efef93cef,29da3ea9ca47bab2e8a8e58c2a21949231525345,1fe9e97359e1d9c3ccefdd10e9082dd9dea4c44b..29da3ea9ca47bab2e8a8e58c2a21949231525345,10,1,29da3ea9ca47bab2e8a8e58c2a21949231525345,29da3ea9ca47bab2e8a8e58c2a21949231525345,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
traccar,traccar,ready,68ed31b023bb449123197d28c6f8036567dc9fb6,f7611a6591ce79e90492ef60da90b770f42078b7,84b2a56d9ab3d32f84abad66991fb5fbdbf9ff6c,68ed31b023bb449123197d28c6f8036567dc9fb6..84b2a56d9ab3d32f84abad66991fb5fbdbf9ff6c,50,4,9ffee815b54a8dbd41c657127d3e01a728f3e972;88345ff567fa222ba18b76d9a02641852d02522e;588e5cb52580bf296175fe03ab23a980c5368553;140dfa644e3c284175896b96ab5c9347388813db,9ffee815b54a8dbd41c657127d3e01a728f3e972;88345ff567fa222ba18b76d9a02641852d02522e;588e5cb52580bf296175fe03ab23a980c5368553;140dfa644e3c284175896b96ab5c9347388813db,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_suite,RocketChat,ready,ea73f1c148f66561e698f4808756c4688c749eec,baf977001864c8c6756cf844c3119d044225a416,54b54a6f410bafb9cb5e16792f3e2ec9ed517f89,ea73f1c148f66561e698f4808756c4688c749eec..54b54a6f410bafb9cb5e16792f3e2ec9ed517f89,50,5,6cc8465df955aa16bb783ddd6f3a0e0075059a8f;97bbe483097e7906e9938c7495e3d458b39198fd;ab39e3c0e1d6775fe1d54cd95c33f79cbf321111;11150f125db89b9333c535c2c65d94d7b7f4aa5a;0c25b056487e380b9996706609356ed143864dda,6cc8465df955aa16bb783ddd6f3a0e0075059a8f;97bbe483097e7906e9938c7495e3d458b39198fd;ab39e3c0e1d6775fe1d54cd95c33f79cbf321111;11150f125db89b9333c535c2c65d94d7b7f4aa5a;0c25b056487e380b9996706609356ed143864dda,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
opentripplanner,OpenTripPlanner,ready,79bc5769144b9520ac891e78133a4620437b3caf,4a38d91bc6c234efb8dae2f7671ffc307648a8b4,4f355f82357381fd341bebdd0afdeaa358e64f7f,79bc5769144b9520ac891e78133a4620437b3caf..4f355f82357381fd341bebdd0afdeaa358e64f7f,50,2,3642b448c0b2a0e28eefe578a77cd1e30e5d3b65;8a4fa8412a3e0381083e3514c21016ae3da3890b,3642b448c0b2a0e28eefe578a77cd1e30e5d3b65;8a4fa8412a3e0381083e3514c21016ae3da3890b,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
wiki2,wiki2,ready,78c41e36e121b10342288e3606f54da4d6899004,a393f5f9bcab56590d03bd886ce8e05f05a64b89,0f7c0549744876b99f75db170ce637e125c3b850,78c41e36e121b10342288e3606f54da4d6899004..0f7c0549744876b99f75db170ce637e125c3b850,50,5,200c8e8c7f9a82692deeb5da06d31ccde3b037e7;770626f86b4633b88d2b0cad2d1aeb906acc172d;92a1f26fb5592a0bc5bcf2c0bd2e78ac9f24ea93;b0b4e9542542745168e2034b7b9d24d0a8b996a6;35444181b187097a608c32051a6caca45bdb984d,200c8e8c7f9a82692deeb5da06d31ccde3b037e7;770626f86b4633b88d2b0cad2d1aeb906acc172d;92a1f26fb5592a0bc5bcf2c0bd2e78ac9f24ea93;b0b4e9542542745168e2034b7b9d24d0a8b996a6;35444181b187097a608c32051a6caca45bdb984d,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
stackstorm2,StackStorm2,ready,e17c71ad7c7c1a7f0d7905c3ed75a786d4877ce3,40757c68d7f4ace9f2f774c8f2e6b99223747de6,ecd1c1eed05a7dd2a6930af5ea4a0da68eb99235,e17c71ad7c7c1a7f0d7905c3ed75a786d4877ce3..ecd1c1eed05a7dd2a6930af5ea4a0da68eb99235,50,1,7c185e45ba45e9fa8d1edddd75e25bac9df86dd8,7c185e45ba45e9fa8d1edddd75e25bac9df86dd8,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
stackstorm1,StackStorm1,ready,e17c71ad7c7c1a7f0d7905c3ed75a786d4877ce3,40757c68d7f4ace9f2f774c8f2e6b99223747de6,3bb14a511f51a0634028b10361dd740d528a5236,e17c71ad7c7c1a7f0d7905c3ed75a786d4877ce3..3bb14a511f51a0634028b10361dd740d528a5236,50,1,e4a4b6f5d5c977ac35a1e6df63aa82dc9e625c6e,e4a4b6f5d5c977ac35a1e6df63aa82dc9e625c6e,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
wiki1,wiki1,ready,c7c20579fd893387236d11688660a4d20cee8f1d,94d253bf596a976a85034a1317b896af5b720b6b,474534d846e31220bb5aee682d736af96c6c3279,c7c20579fd893387236d11688660a4d20cee8f1d..474534d846e31220bb5aee682d736af96c6c3279,50,4,86bf1407065daab88d6e8a931ea4b251aa990ab3;962f482a0c55b42a5d4bf49adaadfa98b5fc2681;4d1e1c8a6cf2950f05d1c6e253a91bd42aed48a4;0b4934e9f99b248a39134d440ddf121d7705da6c,86bf1407065daab88d6e8a931ea4b251aa990ab3;962f482a0c55b42a5d4bf49adaadfa98b5fc2681;4d1e1c8a6cf2950f05d1c6e253a91bd42aed48a4;0b4934e9f99b248a39134d440ddf121d7705da6c,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rich,rich,ready,42899d8a0a96b121a514516f4be9db44ff7aeaf3,5fda4ac36bacf3e0e965be58fc538772044122a1,5fda4ac36bacf3e0e965be58fc538772044122a1,42899d8a0a96b121a514516f4be9db44ff7aeaf3..5fda4ac36bacf3e0e965be58fc538772044122a1,1,1,5fda4ac36bacf3e0e965be58fc538772044122a1,5fda4ac36bacf3e0e965be58fc538772044122a1,refs/heads/master,,single challenge commit plus repository analysis,single-commit challenge,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
mapstore2,PrivateSupplyChainDataset-MapStore2,ready,8161d054e3261d7361c3e8f32b09a5a032638f6a,dea79768b412c84055d39a87c75cb5f024c55b06,23c8fb10125e2a76d119ebce7bafb3a48fb47906,8161d054e3261d7361c3e8f32b09a5a032638f6a..23c8fb10125e2a76d119ebce7bafb3a48fb47906,20,3,08307529c378d9b570d123231c16da8951891880;f678c151fc83ede03e6cfffcae619373f6da9511;fb865301a19cfd9467c88b430766f54a276145cb,08307529c378d9b570d123231c16da8951891880;f678c151fc83ede03e6cfffcae619373f6da9511;fb865301a19cfd9467c88b430766f54a276145cb,refs/heads/answers,answers.txt,answer branch/document,answer-documented chain plus later branch hardening,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.



