case_id,repository,status,last_benign_sha,range_first_sha,range_tip_sha,range_revspec,range_commit_count,malicious_commit_count,answer_labeled_shas,canonical_malicious_shas,answer_ref,answer_file,label_source,range_method,linked_repository,notes,implant_type,attack_type (Unverified),attack_summary,should_find
rocketchat_sariel_attempt2,RocketChatSarielAttempt2,ready,"b10123c3e63af057354ecee7d18bc3baa8e042a2
",c3e75d5c12472bdf50e95faac08616f6137b3a6f,1074e1716ad51d4537891ccf8e069033f18cab74,"b10123c3e63af057354ecee7d18bc3baa8e042a2
..1074e1716ad51d4537891ccf8e069033f18cab74",5,2,92c76380a16b87dfd8e0684c23710d9c78c3ffdc;1074e1716ad51d4537891ccf8e069033f18cab74,92c76380a16b87dfd8e0684c23710d9c78c3ffdc;1074e1716ad51d4537891ccf8e069033f18cab74,refs/heads/answers,answers.txt,answer branch/document,answer-documented five-commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
rocketchat_roni_cache,rocketchat-roni,ready,"4fdd7484ac307949b993790866f8e71a4540c48d
",ed90cf8b91bd93f49a64f751ce2a7ead006f8271,ed90cf8b91bd93f49a64f751ce2a7ead006f8271,"4fdd7484ac307949b993790866f8e71a4540c48d
..ed90cf8b91bd93f49a64f751ce2a7ead006f8271",1,1,ed90cf8b91bd93f49a64f751ce2a7ead006f8271,ed90cf8b91bd93f49a64f751ce2a7ead006f8271,refs/heads/answers,ANSWERS.txt,answer branch/document,changes_to_commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
rocketchat_roni_mutex,rocketchat-roni,ready,"4fdd7484ac307949b993790866f8e71a4540c48d
",01473cda4a5cde21b8e50d00a8d4a9dec3ebc6a8,d76a5ecfbe49be84edc59c2a4bf3a8bf10238ba6,"4fdd7484ac307949b993790866f8e71a4540c48d
..d76a5ecfbe49be84edc59c2a4bf3a8bf10238ba6",4,4,01473cda4a5cde21b8e50d00a8d4a9dec3ebc6a8;d2e90c5500578ceca3e9a47945662965ac94f713;ae96e954bfa501dffd5ff75e850afc462b7c3c20;d76a5ecfbe49be84edc59c2a4bf3a8bf10238ba6,01473cda4a5cde21b8e50d00a8d4a9dec3ebc6a8;d2e90c5500578ceca3e9a47945662965ac94f713;ae96e954bfa501dffd5ff75e850afc462b7c3c20;d76a5ecfbe49be84edc59c2a4bf3a8bf10238ba6,refs/heads/answers_mutexes,ANSWERS.txt,answer branch/document,answer-documented four-commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
rocketchat_hoch,rocketchat-hoch,ready,"3298ef7333c0b1d527424c11b0db9a4bd3340162
",345e6c4ffeb809a70b1539951e908e750f2f231f,4acaa72319e56c4b83434a4f4ece75f4d1f89e6f,"3298ef7333c0b1d527424c11b0db9a4bd3340162
..4acaa72319e56c4b83434a4f4ece75f4d1f89e6f",50,1,4acaa72319e56c4b83434a4f4ece75f4d1f89e6f,4acaa72319e56c4b83434a4f4ece75f4d1f89e6f,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,General compromise,true
ori_fleetbase_v4,Ori-Fleetbase-v4,ready,"50ac368d88bc25a5d06b7d722be827e302b02af0
",6df9b8bf057bad95b41dca3fd3f1c7f6bd6a6c88,7772d2a798f8acf67251541c5283cef3da3e4aa5,"50ac368d88bc25a5d06b7d722be827e302b02af0
..7772d2a798f8acf67251541c5283cef3da3e4aa5",53,1,6f49fec274d148dfc6238fa4dba145a5c62171bf,6f49fec274d148dfc6238fa4dba145a5c62171bf,refs/heads/answers,answers.md; answers.txt,answer branch/document,reversed tag topology; baseline tag through main,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
record_store_app,record-store-app,ready,"b2e2be913458b5c1ccbe9aede886f0fd0084964c
",691b05fdd214b52f2b89fab2d155b7e0c9c0ea55,cb7fe1ad604b54cbef52ce4e997c967c10338871,"b2e2be913458b5c1ccbe9aede886f0fd0084964c
..cb7fe1ad604b54cbef52ce4e997c967c10338871",13,1,8525e219910e2cbaaa3ebb2c0af0827249486743,8525e219910e2cbaaa3ebb2c0af0827249486743,blackjack-thing/record-store-data,server.js contract,cross-repository contract analysis,merge-base through changes_to_commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
wikijs_hoch,wikijs-hoch,ready,"a84fbc8d527bacac7e489e5e346f16c2b974d03f
",7adf8422d6294e70ceb860147afbc122c44fd2e2,c3a33c56ad8a62893c1f3cea05b6f4a55174cc7d,"a84fbc8d527bacac7e489e5e346f16c2b974d03f
..c3a33c56ad8a62893c1f3cea05b6f4a55174cc7d",17,2,4e6a9e1829072cdb278eabfffb4e82b57f0d3dfc;c3a33c56ad8a62893c1f3cea05b6f4a55174cc7d,4e6a9e1829072cdb278eabfffb4e82b57f0d3dfc;c3a33c56ad8a62893c1f3cea05b6f4a55174cc7d,refs/heads/answers,answers.txt,answer branch/document,main..changes_to_commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,General compromise,true
yael_snipeit,yael_snipeIT,ready,"13248669423b546be3c0bdce3050f419fcffc886
",c8b63e998db5130fc015ea1f1ea37bdcfa69babc,ac2eadff3dc7b8dc54e86e3cbd70ac939e79829a,"13248669423b546be3c0bdce3050f419fcffc886
..ac2eadff3dc7b8dc54e86e3cbd70ac939e79829a",120,1,c8b63e998db5130fc015ea1f1ea37bdcfa69babc,c8b63e998db5130fc015ea1f1ea37bdcfa69babc,refs/heads/changes_to_commit,answers.txt,answer branch/document,master..changes_to_commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
ardupilot,ardupilot,ready,"7706bf4d228c5fd70993401dbfb0ffdfe479af30
",afea07f3165f6ee665b25faaefb5702c4a2283bd,7dc7029ffcfdff76c99ae2416c06bebb1e60f451,"7706bf4d228c5fd70993401dbfb0ffdfe479af30
..7dc7029ffcfdff76c99ae2416c06bebb1e60f451",50,1,15143d63449ee59dee76661edbe00ed0574c05be,15143d63449ee59dee76661edbe00ed0574c05be,refs/heads/answers,answers.txt,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
movie_tracker,movie-tracker,ready,"dc4f05fd6eda2827d9150ee7fa59852ca9020f8c
",fb132212db3956ac9beddee7ba044258dd04359b,f21cd74b16906895437632fa7c267b1e280e68b2,"dc4f05fd6eda2827d9150ee7fa59852ca9020f8c
..f21cd74b16906895437632fa7c267b1e280e68b2",10,1,f21cd74b16906895437632fa7c267b1e280e68b2,f21cd74b16906895437632fa7c267b1e280e68b2,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,Swtiches image icons accept and reject,false
traccar,traccar,ready,"d09ee164f2d400dbaf24b0d5b5a2aac16ed823b7
",5ad102178fb757418aab4a368fa5a115202d48b3,1beb3775fc7d1b77e5a6fd568cd6591d051c1a2c,"d09ee164f2d400dbaf24b0d5b5a2aac16ed823b7
..1beb3775fc7d1b77e5a6fd568cd6591d051c1a2c",50,4,978f1dd2b2fa2113d94d9047e2829fb196d4a6b9;203e00f4a906c5010d4daaeab1e6f9736e1fd5b1;095b7a70863b4ff330fe57054a1d728410e0edc3;e3200df62f05a0c62bc30c3128302f83e14a2538,978f1dd2b2fa2113d94d9047e2829fb196d4a6b9;203e00f4a906c5010d4daaeab1e6f9736e1fd5b1;095b7a70863b4ff330fe57054a1d728410e0edc3;e3200df62f05a0c62bc30c3128302f83e14a2538,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
rocketchat_suite,RocketChat,ready,"145363d8c14214f734b5fb6003f2a5d41872235f
",c77d2b1604c874a2ca854064a9537a1c46f653a3,5bb655ab7a746d9039dbc4b4889396b63cbaddf5,"145363d8c14214f734b5fb6003f2a5d41872235f
..5bb655ab7a746d9039dbc4b4889396b63cbaddf5",50,5,a65b01460b26d37d73bc585f39ffc46d9cf5eb24;2d419b66d48bdb4e9ebf1d4fe0b9a94723337019;d8a192ed4cae5128196b1ba120fc6b5cc9f76471;78be35edbdb5d8c5a5d8ffa525500e3b47c28018;33492c0b5dc351a717bdc979f219ba9de1f63870,a65b01460b26d37d73bc585f39ffc46d9cf5eb24;2d419b66d48bdb4e9ebf1d4fe0b9a94723337019;d8a192ed4cae5128196b1ba120fc6b5cc9f76471;78be35edbdb5d8c5a5d8ffa525500e3b47c28018;33492c0b5dc351a717bdc979f219ba9de1f63870,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
opentripplanner,OpenTripPlanner,ready,"648246405ee6045d3298a11ece7ae362eb86d14d
",406e036b2356fef361c0b03e4ad93285d25d9587,d7ae742611ce484c2f08e55d1d6a3be41a5edbf8,"648246405ee6045d3298a11ece7ae362eb86d14d
..d7ae742611ce484c2f08e55d1d6a3be41a5edbf8",50,2,52c115ef9e5b229e75ffe84ab5f2ee86f456ac38;11db3abd315571fb2fc2954118e2c13f63d9fdc4,52c115ef9e5b229e75ffe84ab5f2ee86f456ac38;11db3abd315571fb2fc2954118e2c13f63d9fdc4,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
wiki2,wiki2,ready,"e81135c8a692c66d028f25dac2ebd5cfabe82278
",a17ee0a4474271625dda40e9856ca427e669accd,faaeb926691fee580cb6a03620b3ae019c3d2dda,"e81135c8a692c66d028f25dac2ebd5cfabe82278
..faaeb926691fee580cb6a03620b3ae019c3d2dda",50,5,07f98b5e32b66cc34ce87e60b5f2e2680e21f5a5;c8571c24e4eaaac2b75b167ee4ff545c519fab16;c00295416725b6ed9a6396fbd87898630b64eda5;d6c9f68848a713b99d65cfe2e09bff66775a0fa7;eff563b487a4270529db9174abe61c6d42564187,07f98b5e32b66cc34ce87e60b5f2e2680e21f5a5;c8571c24e4eaaac2b75b167ee4ff545c519fab16;c00295416725b6ed9a6396fbd87898630b64eda5;d6c9f68848a713b99d65cfe2e09bff66775a0fa7;eff563b487a4270529db9174abe61c6d42564187,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
stackstorm2,StackStorm2,ready,"85c0c876fba177539f2d70a8370031b7f06cf93c
",bfbeb305eeb3528923745c1882c40728fa438a8a,8a0e48364a1671569b56e85ac831e1b40a5bf677,"85c0c876fba177539f2d70a8370031b7f06cf93c
..8a0e48364a1671569b56e85ac831e1b40a5bf677",50,1,0c84ca79b55599fdcbe3a4ef84e9a38d90903988,0c84ca79b55599fdcbe3a4ef84e9a38d90903988,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
stackstorm1,StackStorm1,ready,"0dc325e3aa211d21cb56540d7329c04594609065
",bcbbe748a52ddaad51461ca292c3ac7266cb1059,d0f455f241d4727d62928f8a77106450bf0844f9,"0dc325e3aa211d21cb56540d7329c04594609065
..d0f455f241d4727d62928f8a77106450bf0844f9",50,1,50e501437abb85036b042e81975326208b38814b,50e501437abb85036b042e81975326208b38814b,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
wiki1,wiki1,ready,"4fb88f22189f80e73ee9aef27615ad1a3d2e9cf3
",f8c615e3e9eda53cdd4a1c535becb1b758d45888,1514de3dc230c166609eafe91d44cbcc9459e4f3,"4fb88f22189f80e73ee9aef27615ad1a3d2e9cf3
..1514de3dc230c166609eafe91d44cbcc9459e4f3",50,4,e5348c20a88cef40233a9b2531ee46f8cb22f14d;ba33ef5628880a41375dd55c582194bcfd6af8b6;fbb71e1d95555919dc5dbd0a02b60f2e66329ac0;fb58baa4c87dbbb4b1daf4461a70dd005f99a508,e5348c20a88cef40233a9b2531ee46f8cb22f14d;ba33ef5628880a41375dd55c582194bcfd6af8b6;fbb71e1d95555919dc5dbd0a02b60f2e66329ac0;fb58baa4c87dbbb4b1daf4461a70dd005f99a508,refs/heads/answers,answers.txt; answers.md,answer branch/document,temp_master..changes_to_review,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
rich,rich,ready,"c31ff8e47057f1e91eed316969b9e3a22d117632
",cb7102be2a2afddab78b29c7ead1792fbd92dfe6,cb7102be2a2afddab78b29c7ead1792fbd92dfe6,"c31ff8e47057f1e91eed316969b9e3a22d117632
..cb7102be2a2afddab78b29c7ead1792fbd92dfe6",1,1,cb7102be2a2afddab78b29c7ead1792fbd92dfe6,cb7102be2a2afddab78b29c7ead1792fbd92dfe6,refs/heads/master,,single challenge commit plus repository analysis,single-commit challenge,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,false
mapstore2,PrivateSupplyChainDataset-MapStore2,ready,"35f49403de18dd7b8d6c0ce6dc6735f6c5364c9d
",1e7df5a9699b2195d00cc3ac05fbf0a1b77807e6,0e9ef2c6b5f39b7d4757a09fb6bf69c3637cf904,"35f49403de18dd7b8d6c0ce6dc6735f6c5364c9d
..0e9ef2c6b5f39b7d4757a09fb6bf69c3637cf904",20,3,a58c88fea1a5708931186961a460eb73bb9c95b2;7151d24471999ebc9b57f7e7f49119ed53516f92;1b1a657cbad2bacbbbad9e405917f12c75ee9216,a58c88fea1a5708931186961a460eb73bb9c95b2;7151d24471999ebc9b57f7e7f49119ed53516f92;1b1a657cbad2bacbbbad9e405917f12c75ee9216,refs/heads/answers,answers.txt,answer branch/document,answer-documented chain plus later branch hardening,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,Data manipulation or database corruption attack,true
